host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,review_duration,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,avg_price_per_bedroom,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time,neighbourhood_encoded
Heidi,2009-11-20,"Sydney, New South Wales, Australia",1.0,0.69,1,2.0,1,1,6,3,3,2,22,2,2,22,22,2,22,1,0,14,14,174,3,1,0,4.67,4.33,4.33,4.67,4.33,4.67,4.33,0,2,2,0,0,0.04,470.0,9.078880178220212,1977.0,1,1,1,1,0,1,1,1,192.27598747261771,5,3,4,3,20
Morag,2009-12-03,"Sydney, New South Wales, Australia",1.0,1.0,0,3.0,1,1,2,1,1,2,90,2,2,90,90,2,90,1,5,31,61,336,383,18,6,4.42,4.58,4.4,4.77,4.67,4.7,4.47,1,1,0,1,0,3.21,82.0,1.3900735720790756,3571.0,1,1,1,1,1,1,1,1,138.02608522069195,2,5,3,4,32
John,2010-11-06,"Sydney, New South Wales, Australia",1.0,0.81,1,1.0,1,1,4,1,1,2,90,2,2,90,90,2,90,1,1,9,33,217,297,15,4,4.55,4.66,4.23,4.87,4.9,4.73,4.68,0,1,1,0,0,2.23,150.0,6.1747919558801465,3989.0,1,1,1,1,1,1,1,1,220.34827684827684,5,6,4,3,22
Eilish,2010-11-25,"Bondi Beach, New South Wales, Australia",1.0,1.0,1,1.0,1,1,4,2,2,90,90,90,90,90,90,90,90,1,12,42,72,347,33,1,0,4.42,4.42,3.74,4.9,4.9,4.9,4.32,0,1,1,0,0,0.25,245.0,6.602239376803004,3651.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,2,35
Bryan,2011-01-03,"Sydney, New South Wales, Australia",1.0,0.89,1,2.0,1,1,4,2,3,1,30,1,1,30,30,1,30,1,26,53,83,358,61,15,0,4.95,4.93,4.98,4.98,5.0,4.79,4.93,0,1,0,1,0,0.48,89.0,21.211696221469655,3652.0,1,1,1,1,1,1,1,1,138.02608522069195,2,2,3,4,38
Marzena,2010-11-20,Australia,1.0,0.13,0,2.0,1,1,6,2,3,3,300,3,3,300,300,3,300,1,0,3,33,308,8,1,0,4.0,4.57,4.57,5.0,4.43,4.86,3.86,0,2,2,0,0,0.08,191.0,5.917056551229358,2673.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,4,27
Helen,2011-02-21,"Sydney, New South Wales, Australia",1.0,1.0,1,2.0,1,1,2,1,2,3,90,3,3,90,90,3,90,1,0,0,0,0,301,30,0,4.94,4.96,4.97,4.99,4.98,4.91,4.91,0,1,1,0,0,2.31,114.0,11.452959754767615,3810.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,4,27
Ann,2011-03-31,"Sydney, New South Wales, Australia",1.0,1.0,0,0.0,1,1,4,2,2,2,1125,2,3,1125,1125,2,1125,1,5,31,61,336,132,15,1,4.59,4.71,4.72,4.78,4.78,4.75,4.52,1,1,1,0,0,1.18,246.0,6.053730392592337,3330.0,1,1,1,0,1,1,1,1,183.21820800371313,4,6,4,4,35
Marianne,2011-04-03,"Sydney, New South Wales, Australia",0.0,0.4,0,1.0,1,0,1,1,1,90,730,90,90,730,730,90,730,1,13,28,58,333,24,1,0,4.9,4.91,4.95,4.95,4.95,4.77,4.95,0,1,0,1,0,0.19,70.0,20.15058208287546,3569.0,1,1,1,0,1,1,0,0,116.07480748074806,2,6,3,1,16
Nicole,2011-02-23,"Balmain East, New South Wales, Australia",1.0,0.83,0,2.0,1,1,6,3,3,90,365,90,90,365,365,90,365,1,16,46,76,351,10,0,0,4.63,4.89,4.67,5.0,5.0,4.89,4.56,0,1,1,0,0,0.08,750.0,3.2213127688348835,3100.0,1,1,1,0,1,1,1,1,117.31939891873483,5,3,4,4,18
Christopher,2010-07-19,"Bondi, New South Wales, Australia",1.0,1.0,0,2.0,1,1,4,2,4,3,30,3,3,30,30,3,30,1,4,4,4,4,66,1,1,4.52,4.59,4.64,4.88,4.81,4.97,4.62,0,1,1,0,0,0.51,232.0,7.416949853259296,3858.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Susanne,2011-05-01,"Sydney, New South Wales, Australia",1.0,0.86,1,1.0,1,1,4,2,3,14,45,14,14,45,45,14,45,1,0,12,42,317,16,5,2,5.0,4.8,5.0,5.0,5.0,4.9,5.0,0,1,1,0,0,0.26,307.0,26.527179231127004,1869.0,1,1,1,1,0,1,0,1,255.97059136060957,5,3,4,3,26
Godelieve,2011-04-18,"Dee Why, New South Wales, Australia",1.0,0.69,0,3.0,1,1,1,1,1,14,28,14,14,28,28,14,28,1,29,59,89,90,18,0,0,4.47,4.44,4.28,4.61,4.61,4.61,4.56,0,1,0,1,0,0.17,158.0,14.454189472086911,1872.0,1,1,1,1,1,1,1,1,157.98023595334942,2,1,3,2,34
Gill,2011-08-11,Australia,1.0,0.88,1,3.0,1,1,2,1,1,2,365,2,2,365,365,2,365,1,3,33,63,338,54,8,5,4.81,4.91,4.66,4.96,4.94,4.55,4.83,0,2,0,2,0,0.43,50.0,11.712387670512744,3733.0,1,1,1,1,1,1,1,1,116.07480748074806,2,5,3,3,16
Susie,2011-08-15,"Tamarama, New South Wales, Australia",1.0,0.67,0,3.0,1,1,5,2,2,8,730,8,8,730,730,8,730,1,2,3,7,282,8,3,0,4.71,4.86,4.43,4.71,5.0,5.0,4.57,0,1,1,0,0,0.08,285.0,6.331194606074692,2769.0,1,1,1,1,1,1,1,1,183.21820800371313,5,6,4,2,35
Ingrid,2011-04-06,"Marina del Rey, California, United States",1.0,0.73,0,2.0,1,1,6,3,3,4,365,4,7,365,365,4,365,1,25,47,68,343,83,2,0,4.36,4.4,4.3,4.74,4.73,4.56,4.22,0,2,2,0,0,0.69,350.0,5.903788784044928,3450.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,3,35
Christian,2011-09-18,"Bundeena, New South Wales, Australia",1.0,0.92,0,1.0,1,1,6,3,4,2,60,2,2,60,60,2,60,1,6,13,38,309,19,6,1,4.83,4.89,4.94,4.89,4.89,5.0,4.61,0,1,1,0,0,0.18,614.0,24.331117785848825,3225.0,1,1,1,0,1,1,1,1,138.67108953095203,5,3,4,4,31
Family Team -,2011-06-13,"Sydney, New South Wales, Australia",1.0,0.73,1,3.0,1,1,8,4,5,2,365,2,2,365,365,2,365,1,1,19,31,251,133,5,2,4.88,4.89,4.83,4.9,4.95,4.79,4.85,0,1,1,0,0,1.17,271.0,20.43908547125948,3394.0,0,1,1,0,1,1,1,1,255.97059136060957,5,3,4,3,26
Laelie,2011-10-31,"Paddington, New South Wales, Australia",1.0,1.0,0,1.0,1,1,6,3,4,4,90,4,4,90,90,4,90,1,1,6,36,120,29,5,0,4.86,4.96,4.93,4.93,5.0,4.96,4.89,0,1,1,0,0,0.44,325.0,24.68260300974844,1819.0,1,1,1,1,1,1,1,1,138.67108953095203,5,3,4,3,31
Hugh,2011-10-07,"Sydney, New South Wales, Australia",1.0,0.75,1,5.0,1,1,4,1,2,3,364,3,6,364,364,3,364,1,0,14,41,315,295,22,1,4.78,4.89,4.82,4.91,4.9,4.81,4.78,0,5,5,0,0,2.44,141.0,1.4274136925670577,3599.0,1,1,1,1,1,0,1,1,138.02608522069195,4,6,4,4,32
Jess,2011-12-11,"Sydney, New South Wales, Australia",0.67,0.4,0,1.0,1,1,4,2,2,7,28,7,7,28,28,7,28,1,6,25,25,276,5,0,0,4.75,4.75,4.5,5.0,5.0,4.75,4.5,0,1,1,0,0,0.11,290.0,3.5844321276258793,705.0,1,1,1,1,1,1,1,1,138.02608522069195,5,6,4,4,32
Bondi Beach Holiday Homes,2010-04-26,"Tamarama, New South Wales, Australia",0.96,0.86,0,58.0,1,1,6,2,2,2,365,28,7,999,3088569,2,999,1,9,12,39,184,29,2,0,4.59,4.75,4.25,4.84,4.9,4.89,4.63,0,54,54,0,0,0.31,357.0,4.848356650502444,2587.0,1,1,1,1,0,1,0,1,198.09007603821408,4,3,4,3,37
Gab,2010-04-12,"Sydney, New South Wales, Australia",1.0,1.0,0,3.0,1,1,1,1,1,28,90,28,28,1125,1125,28,1125,1,0,0,7,7,6,0,0,4.67,4.83,4.0,4.83,4.83,5.0,4.83,1,1,0,1,0,0.05,63.0,4.8659730796491205,2308.0,1,1,1,0,1,1,1,1,183.21820800371313,2,4,3,4,35
Monica,2011-04-27,"Berlin, Berlin, Germany",1.0,1.0,0,1.0,1,1,2,1,1,21,365,4,21,365,365,20,365,1,10,40,70,160,29,0,0,4.71,4.69,4.69,4.79,4.9,4.86,4.55,0,1,1,0,0,0.26,169.0,6.328935635816571,2672.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,3,35
