beds,mapped_bathrooms,avg_price_per_bedroom,accommodates,mapped_property_type,bedrooms,mapped_room_type,price
3,3,192.2759874726177,6,5,3,4,470.0
1,5,138.02608522069195,2,2,1,3,82.0
1,6,220.34827684827684,4,5,1,4,150.0
2,6,183.21820800371316,4,4,2,4,245.0
3,2,138.02608522069195,4,2,2,3,89.0
3,6,135.26623842867315,6,4,2,4,191.0
2,6,135.26623842867315,2,4,1,4,114.0
2,6,183.21820800371316,4,4,2,4,246.0
1,6,116.07480748074806,1,2,1,3,70.0
3,3,117.31939891873483,6,5,3,4,750.0
4,6,183.21820800371316,4,4,2,4,232.0
3,3,255.9705913606096,4,5,2,4,307.0
1,1,157.98023595334942,1,2,1,3,158.0
1,5,116.07480748074806,2,2,1,3,50.0
2,6,183.21820800371316,5,5,2,4,285.0
3,6,183.21820800371316,6,4,3,4,350.0
4,3,138.67108953095203,6,5,3,4,614.0
5,3,255.9705913606096,8,5,4,4,271.0
4,3,138.67108953095203,6,5,3,4,325.0
2,6,138.02608522069195,4,4,1,4,141.0
2,6,138.02608522069195,4,5,2,4,290.0
2,3,198.09007603821408,6,4,2,4,357.0
1,4,183.21820800371316,1,2,1,3,63.0
1,6,183.21820800371316,2,4,1,4,169.0
1,6,138.02608522069195,1,2,1,3,119.0
1,6,114.50185185185184,2,2,1,3,80.0
2,6,93.51619733735733,2,5,1,4,90.0
1,6,138.02608522069195,3,4,1,4,264.0
1,6,183.21820800371316,2,4,1,4,160.0
1,6,183.21820800371316,2,4,1,4,160.0
2,6,94.17872340425532,4,4,2,4,167.0
2,6,138.02608522069195,4,5,2,4,203.0
2,6,138.02608522069195,4,4,2,4,160.0
2,6,93.51619733735733,4,5,2,4,250.0
2,6,138.02608522069195,3,4,1,4,157.0
1,5,130.2765182186235,2,2,1,3,75.0
3,3,192.2759874726177,6,5,3,4,625.0
2,6,138.02608522069195,5,5,2,4,383.0
2,6,183.21820800371316,4,4,2,4,250.0
2,6,138.02608522069195,4,4,1,4,233.0
2,6,183.21820800371316,3,4,1,4,192.0
1,6,192.2759874726177,2,4,1,4,114.0
1,6,255.9705913606096,2,4,1,4,200.0
1,6,183.21820800371316,2,2,1,3,80.0
2,6,138.02608522069195,4,6,2,4,750.0
2,6,183.21820800371316,3,4,2,4,289.0
2,6,135.26623842867315,4,4,2,4,280.0
1,6,138.02608522069195,2,4,1,4,600.0
2,6,138.02608522069195,4,4,1,4,141.0
2,4,130.2765182186235,2,2,1,3,65.0
