host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time
2009-11-20,1.0,0.69,1,2.0,1,1,6,3,3,2,22,2,2,22,22,2,22,1,0,14,14,174,3,1,0,2016-01-02,2021-06-01,4.67,4.33,4.33,4.67,4.33,4.67,4.33,0,2,2,0,0,0.04,470.0,9.078880178220212,1,1,1,1,0,1,1,1,5,3,4.0,3.0
2009-12-03,1.0,1.0,0,3.0,1,1,2,1,1,2,90,2,2,90,90,2,90,1,5,31,61,336,383,18,6,2012-02-23,2021-12-03,4.42,4.58,4.4,4.77,4.67,4.7,4.47,1,1,0,1,0,3.21,82.0,1.3900735720790756,1,1,1,1,1,1,1,1,2,5,3.0,4.0
2010-11-06,1.0,0.81,1,1.0,1,1,4,1,1,2,90,2,2,90,90,2,90,1,1,9,33,217,297,15,4,2010-12-29,2021-11-30,4.55,4.66,4.23,4.87,4.9,4.73,4.68,0,1,1,0,0,2.23,150.0,6.1747919558801465,1,1,1,1,1,1,1,1,5,6,4.0,3.0
2010-11-25,1.0,1.0,1,1.0,1,1,4,2,2,90,90,90,90,90,90,90,90,1,12,42,72,347,33,1,0,2011-04-09,2021-04-07,4.42,4.42,3.74,4.9,4.9,4.9,4.32,0,1,1,0,0,0.25,245.0,6.602239376803004,1,1,1,1,1,1,1,1,4,6,4.0,2.0
2011-01-03,1.0,0.89,1,2.0,1,1,4,2,3,1,30,1,1,30,30,1,30,1,26,53,83,358,61,15,0,2011-06-21,2021-06-20,4.95,4.93,4.98,4.98,5.0,4.79,4.93,0,1,0,1,0,0.48,89.0,21.211696221469655,1,1,1,1,1,1,1,1,2,2,3.0,4.0
2010-11-20,1.0,0.13,0,2.0,1,1,6,2,3,3,300,3,3,300,300,3,300,1,0,3,33,308,8,1,0,2013-12-10,2021-04-05,4.0,4.57,4.57,5.0,4.43,4.86,3.86,0,2,2,0,0,0.08,191.0,5.917056551229358,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-02-21,1.0,1.0,1,2.0,1,1,2,1,2,3,90,3,3,90,90,3,90,1,0,0,0,0,301,30,0,2011-04-04,2021-09-08,4.94,4.96,4.97,4.99,4.98,4.91,4.91,0,1,1,0,0,2.31,114.0,11.452959754767615,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-03-31,1.0,1.0,0,0.0,1,1,4,2,2,2,1125,2,3,1125,1125,2,1125,1,5,31,61,336,132,15,1,2012-10-10,2021-11-22,4.59,4.71,4.72,4.78,4.78,4.75,4.52,1,1,1,0,0,1.18,246.0,6.053730392592337,1,1,1,0,1,1,1,1,4,6,4.0,4.0
2011-04-03,0.0,0.4,0,1.0,1,0,1,1,1,90,730,90,90,730,730,90,730,1,13,28,58,333,24,1,0,2011-07-30,2021-05-07,4.9,4.91,4.95,4.95,4.95,4.77,4.95,0,1,0,1,0,0.19,70.0,20.15058208287546,1,1,1,0,1,1,0,0,2,6,3.0,1.0
2011-02-23,1.0,0.83,0,2.0,1,1,6,3,3,90,365,90,90,365,365,90,365,1,16,46,76,351,10,0,0,2011-07-09,2020-01-03,4.63,4.89,4.67,5.0,5.0,4.89,4.56,0,1,1,0,0,0.08,750.0,3.2213127688348835,1,1,1,0,1,1,1,1,5,3,4.0,4.0
2010-07-19,1.0,1.0,0,2.0,1,1,4,2,4,3,30,3,3,30,30,3,30,1,4,4,4,4,66,1,1,2011-05-14,2021-12-05,4.52,4.59,4.64,4.88,4.81,4.97,4.62,0,1,1,0,0,0.51,232.0,7.416949853259296,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-05-01,1.0,0.86,1,1.0,1,1,4,2,3,14,45,14,14,45,45,14,45,1,0,12,42,317,16,5,2,2016-10-22,2021-12-04,5.0,4.8,5.0,5.0,5.0,4.9,5.0,0,1,1,0,0,0.26,307.0,26.527179231127004,1,1,1,1,0,1,0,1,5,3,4.0,3.0
2011-04-18,1.0,0.69,0,3.0,1,1,1,1,1,14,28,14,14,28,28,14,28,1,29,59,89,90,18,0,0,2013-02-17,2018-04-04,4.47,4.44,4.28,4.61,4.61,4.61,4.56,0,1,0,1,0,0.17,158.0,14.454189472086911,1,1,1,1,1,1,1,1,2,1,3.0,2.0
2011-08-11,1.0,0.88,1,3.0,1,1,2,1,1,2,365,2,2,365,365,2,365,1,3,33,63,338,54,8,5,2011-09-18,2021-12-07,4.81,4.91,4.66,4.96,4.94,4.55,4.83,0,2,0,2,0,0.43,50.0,11.712387670512744,1,1,1,1,1,1,1,1,2,5,3.0,3.0
2011-08-15,1.0,0.67,0,3.0,1,1,5,2,2,8,730,8,8,730,730,8,730,1,2,3,7,282,8,3,0,2014-02-16,2021-09-16,4.71,4.86,4.43,4.71,5.0,5.0,4.57,0,1,1,0,0,0.08,285.0,6.331194606074692,1,1,1,1,1,1,1,1,5,6,,2.0
2011-04-06,1.0,0.73,0,2.0,1,1,6,3,3,4,365,4,7,365,365,4,365,1,25,47,68,343,83,2,0,2012-01-09,2021-06-20,4.36,4.4,4.3,4.74,4.73,4.56,4.22,0,2,2,0,0,0.69,350.0,5.903788784044928,1,1,1,1,1,1,1,1,4,6,4.0,3.0
